"Date","Number of Sales"
"2019-02-05",2129
"2019-02-06",2129
"2019-02-07",2129
"2019-02-08",2131
"2019-02-09",2132
"2019-02-10",2133
"2019-02-11",2133
"2019-02-12",2133
"2019-02-13",2133
"2019-02-14",2135
"2019-02-15",2135
"2019-02-16",2137
"2019-02-17",2137
"2019-02-18",2138
"2019-02-19",2139
"2019-02-20",2141
"2019-02-21",2145
"2019-02-22",2153
"2019-02-23",2164
"2019-02-24",2167
"2019-02-25",2167
"2019-02-26",2167
"2019-02-27",2168
"2019-02-28",2169
"2019-03-01",2169
"2019-03-02",2171
"2019-03-03",2171
"2019-03-04",2171
"2019-03-05",2172
"2019-03-06",2175
"2019-03-07",2175
"2019-03-08",2175
"2019-03-09",2175
"2019-03-10",2175
"2019-03-11",2176
"2019-03-12",2176
"2019-03-13",2178
"2019-03-14",2182
"2019-03-15",2185
"2019-03-16",2191
"2019-03-17",2191
"2019-03-18",2191
"2019-03-19",2191
"2019-03-20",2197
"2019-03-21",2199
"2019-03-22",2202
"2019-03-23",2202
"2019-03-24",2208
"2019-03-25",2212
"2019-03-26",2213
"2019-03-27",2218
"2019-03-28",2229
"2019-03-29",2233
"2019-03-30",2238
"2019-03-31",2240
"2019-04-01",2241
"2019-04-02",2241
"2019-04-03",2241
"2019-04-04",2242
"2019-04-05",2246
"2019-04-06",2257
"2019-04-07",2267
"2019-04-08",2269
"2019-04-09",2269
"2019-04-10",2270
"2019-04-11",2273
"2019-04-12",2274
"2019-04-13",2284
"2019-04-14",2287
"2019-04-15",2288
"2019-04-16",2290
"2019-04-17",2291
"2019-04-18",2296
"2019-04-19",2296
"2019-04-20",2304
"2019-04-21",2309
"2019-04-22",2314
"2019-04-23",2315
"2019-04-24",2317
"2019-04-25",2318
"2019-04-26",2318
"2019-04-27",2318
"2019-04-28",2320
"2019-04-29",2321
"2019-04-30",2321
"2019-05-01",2321
"2019-05-02",2321
"2019-05-03",2323
"2019-05-04",2325
"2019-05-05",2325
"2019-05-06",2411
"2019-05-07",2419
"2019-05-08",2424
"2019-05-09",2431
"2019-05-10",2432
"2019-05-11",2433
"2019-05-12",2433
"2019-05-13",2437
"2019-05-14",2438
"2019-05-15",2439
"2019-05-16",2441
"2019-05-17",2443
"2019-05-18",2451
"2019-05-19",2457
"2019-05-20",2457
"2019-05-21",2458
"2019-05-22",2465
"2019-05-23",2483
"2019-05-24",2487
"2019-05-25",2487
"2019-05-26",2491
"2019-05-27",2492
"2019-05-28",2492
"2019-05-29",2492
"2019-05-30",2497
"2019-05-31",2498
"2019-06-01",2498
"2019-06-02",2498
"2019-06-03",2499
"2019-06-04",2503
"2019-06-05",2504
"2019-06-06",2505
"2019-06-07",2505
"2019-06-08",2505
"2019-06-09",2505
"2019-06-10",2506
"2019-06-11",2511
"2019-06-12",2515
"2019-06-13",2515
"2019-06-14",2523
"2019-06-15",2523
"2019-06-16",2529
"2019-06-17",2530
"2019-06-18",2532
"2019-06-19",2534
"2019-06-20",2583
"2019-06-21",2639
"2019-06-22",2643
"2019-06-23",2644
"2019-06-24",2644
"2019-06-25",2644
"2019-06-26",2644
"2019-06-27",2645
"2019-06-28",2650
"2019-06-29",2650
"2019-06-30",2650
"2019-07-01",2651
"2019-07-02",2651
"2019-07-03",2651
"2019-07-04",2651
"2019-07-05",2654
"2019-07-06",2658
"2019-07-07",2659
"2019-07-08",2662
"2019-07-09",2663
"2019-07-10",2664
"2019-07-11",2666
"2019-07-12",2668
"2019-07-13",2672
"2019-07-14",2672
"2019-07-15",2672
"2019-07-16",2673
"2019-07-17",2675
"2019-07-18",2676
"2019-07-19",2682
"2019-07-20",2685
"2019-07-21",2686
"2019-07-22",2690
"2019-07-23",2690
"2019-07-24",2690
"2019-07-25",2690
"2019-07-26",2691
"2019-07-27",2691
"2019-07-28",2694
"2019-07-29",2701
"2019-07-30",2701
"2019-07-31",2705
"2019-08-01",2706
"2019-08-02",2707
"2019-08-03",2708
"2019-08-04",2708
"2019-08-05",2708
"2019-08-06",2709
"2019-08-07",2710
"2019-08-08",2710
"2019-08-09",2726
"2019-08-10",2731
"2019-08-11",2737
"2019-08-12",2746
"2019-08-13",2750
"2019-08-14",2751
"2019-08-15",2751
"2019-08-16",2751
"2019-08-17",2751
"2019-08-18",2751
"2019-08-19",2751
"2019-08-20",2751
"2019-08-21",2752
"2019-08-22",2755
"2019-08-23",2755
"2019-08-24",2755
"2019-08-25",2755
"2019-08-26",2755
"2019-08-27",2758
"2019-08-28",2758
"2019-08-29",2758
"2019-08-30",2758
"2019-08-31",2759
"2019-09-01",2760
"2019-09-02",2824
"2019-09-03",2834
"2019-09-04",2836
"2019-09-05",2838
"2019-09-06",2838
"2019-09-07",2838
"2019-09-08",2846
"2019-09-09",2846
"2019-09-10",2846
"2019-09-11",2846
"2019-09-12",2848
"2019-09-13",2852
"2019-09-14",2853
"2019-09-15",2882
"2019-09-16",2883
"2019-09-17",2889
"2019-09-18",2889
"2019-09-19",2889
"2019-09-20",2889
"2019-09-21",2889
"2019-09-22",2889
"2019-09-23",2889
"2019-09-24",2892
"2019-09-25",2894
"2019-09-26",2894
"2019-09-27",2900
"2019-09-28",2906
"2019-09-29",2907
"2019-09-30",2907
"2019-10-01",2907
"2019-10-02",2907
"2019-10-03",2907
"2019-10-04",2909
"2019-10-05",2909
"2019-10-06",2909
"2019-10-07",2909
"2019-10-08",2910
"2019-10-09",2910
"2019-10-10",2910
"2019-10-11",2910
"2019-10-12",2915
"2019-10-13",2919
"2019-10-14",2920
"2019-10-15",2922
"2019-10-16",2922
"2019-10-17",2922
"2019-10-18",2923
"2019-10-19",2923
"2019-10-20",2923
"2019-10-21",2923
"2019-10-22",2923
"2019-10-23",2924
"2019-10-24",2926
"2019-10-25",2928
"2019-10-26",2930
"2019-10-27",2930
"2019-10-28",2930
"2019-10-29",2930
"2019-10-30",2931
"2019-10-31",2932
"2019-11-01",2935
"2019-11-02",2942
"2019-11-03",2944
"2019-11-04",2947
"2019-11-05",2947
"2019-11-06",2947
"2019-11-07",2949
"2019-11-08",2950
"2019-11-09",2952
"2019-11-10",2953
"2019-11-11",2953
"2019-11-12",2953
"2019-11-13",2958
"2019-11-14",2958
"2019-11-15",2958
"2019-11-16",2958
"2019-11-17",2959
"2019-11-18",2959
"2019-11-19",2959
"2019-11-20",2960
"2019-11-21",2962
"2019-11-22",2964
"2019-11-23",3005
"2019-11-24",3005
"2019-11-25",3008
"2019-11-26",3008
"2019-11-27",3009
"2019-11-28",3009
"2019-11-29",3010
"2019-11-30",3010
"2019-12-01",3010
"2019-12-02",3012
"2019-12-03",3012
"2019-12-04",3014
"2019-12-05",3016
"2019-12-06",3016
"2019-12-07",3016
"2019-12-08",3027
"2019-12-09",3032
"2019-12-10",3037
"2019-12-11",3038
"2019-12-12",3038
"2019-12-13",3038
"2019-12-14",3038
"2019-12-15",3038
"2019-12-16",3040
"2019-12-17",3058
"2019-12-18",3059
"2019-12-19",3059
"2019-12-20",3061
"2019-12-21",3066
"2019-12-22",3070
"2019-12-23",3072
"2019-12-24",3074
"2019-12-25",3074
"2019-12-26",3076
"2019-12-27",3078
"2019-12-28",3081
"2019-12-29",3083
"2019-12-30",3101
"2019-12-31",3109
"2020-01-01",3131
"2020-01-02",3143
"2020-01-03",3162
"2020-01-04",3230
"2020-01-05",3243
"2020-01-06",3253
"2020-01-07",3308
"2020-01-08",3321
"2020-01-09",3326
"2020-01-10",3340
"2020-01-11",3345
"2020-01-12",3350
"2020-01-13",3358
"2020-01-14",3364
"2020-01-15",3371
"2020-01-16",3410
"2020-01-17",3422
"2020-01-18",3439
"2020-01-19",3445
"2020-01-20",3448
"2020-01-21",3452
"2020-01-22",3453
"2020-01-23",3459
"2020-01-24",3459
"2020-01-25",3463
"2020-01-26",3468
"2020-01-27",3468
"2020-01-28",3468
"2020-01-29",3470
"2020-01-30",3473
"2020-01-31",3473
"2020-02-01",3475
"2020-02-02",3479
"2020-02-03",3483
"2020-02-04",3484
"2020-02-05",3484
"2020-02-06",3487
"2020-02-07",3495
"2020-02-08",3501
"2020-02-09",3508
"2020-02-10",3513
"2020-02-11",3516
"2020-02-12",3518
"2020-02-13",3519
"2020-02-14",3519
"2020-02-15",3519
"2020-02-16",3534
"2020-02-17",3534
"2020-02-18",3535
"2020-02-19",3536
"2020-02-20",3539
"2020-02-21",3539
"2020-02-22",3539
"2020-02-23",3541
"2020-02-24",3541
"2020-02-25",3543
"2020-02-26",3545
"2020-02-27",3545
"2020-02-28",3549
"2020-02-29",3550
"2020-03-01",3550
"2020-03-02",3550
"2020-03-03",3550
"2020-03-04",3552
"2020-03-05",3552
"2020-03-06",3554
"2020-03-07",3555
"2020-03-08",3557
"2020-03-09",3560
"2020-03-10",3561
"2020-03-11",3561
"2020-03-12",3562
"2020-03-13",3571
"2020-03-14",3574
"2020-03-15",3576
"2020-03-16",3578
"2020-03-17",3578
"2020-03-18",3578
"2020-03-19",3578
"2020-03-20",3578
"2020-03-21",3580
"2020-03-22",3583
"2020-03-23",3584
"2020-03-24",3585
"2020-03-25",3588
"2020-03-26",3590
"2020-03-27",3590
"2020-03-28",3590
"2020-03-29",3591
"2020-03-30",3592
"2020-03-31",3592
"2020-04-01",3593
"2020-04-02",3593
"2020-04-03",3594
"2020-04-04",3594
"2020-04-05",3594
"2020-04-06",3595
"2020-04-07",3596
"2020-04-08",3598
"2020-04-09",3598
"2020-04-10",3600
"2020-04-11",3600
"2020-04-12",3600
"2020-04-13",3604
"2020-04-14",3604
"2020-04-15",3604
"2020-04-16",3604
"2020-04-17",3613
"2020-04-18",3617
"2020-04-19",3620
"2020-04-20",3620
"2020-04-21",3622
"2020-04-22",3624
"2020-04-23",3628
"2020-04-24",3631
"2020-04-25",3642
"2020-04-26",3657
"2020-04-27",3670
"2020-04-28",3679
"2020-04-29",3686
"2020-04-30",3687
"2020-05-01",3688
"2020-05-02",3694
"2020-05-03",3702
"2020-05-04",3705
"2020-05-05",3710
"2020-05-06",3710
"2020-05-07",3715
"2020-05-08",3723
"2020-05-09",3738
"2020-05-10",3755
"2020-05-11",3761
"2020-05-12",3763
"2020-05-13",3765
"2020-05-14",3811
"2020-05-15",3826
"2020-05-16",3843
"2020-05-17",3874
"2020-05-18",3883
"2020-05-19",3901
"2020-05-20",3928
"2020-05-21",3943
"2020-05-22",4035
"2020-05-23",4049
"2020-05-24",4088
"2020-05-25",4111
"2020-05-26",4177
"2020-05-27",4241
"2020-05-28",4258
"2020-05-29",4268
"2020-05-30",4269
"2020-05-31",4272
"2020-06-01",4281
"2020-06-02",4287
"2020-06-03",4291
"2020-06-04",4291
"2020-06-05",4291
"2020-06-06",4294
"2020-06-07",4296
"2020-06-08",4296
"2020-06-09",4298
"2020-06-10",4299
"2020-06-11",4303
"2020-06-12",4308
"2020-06-13",4314
"2020-06-14",4314
"2020-06-15",4315
"2020-06-16",4316
"2020-06-17",4322
"2020-06-18",4323
"2020-06-19",4326
"2020-06-20",4331
"2020-06-21",4333
"2020-06-22",4338
"2020-06-23",4348
"2020-06-24",4348
"2020-06-25",4351
"2020-06-26",4355
"2020-06-27",4359
"2020-06-28",4366
"2020-06-29",4369
"2020-06-30",4373
"2020-07-01",4376
"2020-07-02",4386
"2020-07-03",4391
"2020-07-04",4394
"2020-07-05",4397
"2020-07-06",4399
"2020-07-07",4401
"2020-07-08",4401
"2020-07-09",4405
"2020-07-10",4409
"2020-07-11",4413
"2020-07-12",4415
"2020-07-13",4416
"2020-07-14",4417
"2020-07-15",4420
"2020-07-16",4421
"2020-07-17",4423
"2020-07-18",4423
"2020-07-19",4424
"2020-07-20",4425
"2020-07-21",4425
"2020-07-22",4429
"2020-07-23",4431
"2020-07-24",4431
"2020-07-25",4432
"2020-07-26",4432
"2020-07-27",4432
"2020-07-28",4434
"2020-07-29",4436
"2020-07-30",4442
"2020-07-31",4449
"2020-08-01",4452
"2020-08-02",4454
"2020-08-03",4455
"2020-08-04",4462
"2020-08-05",4465
"2020-08-06",4467
"2020-08-07",4475
"2020-08-08",4475
"2020-08-09",4477
"2020-08-10",4477
"2020-08-11",4477
"2020-08-12",4479
"2020-08-13",4479
"2020-08-14",4482
"2020-08-15",4483
"2020-08-16",4487
"2020-08-17",4489
"2020-08-18",4490
"2020-08-19",4490
"2020-08-20",4492
"2020-08-21",4493
"2020-08-22",4497
"2020-08-23",4507
"2020-08-24",4510
"2020-08-25",4516
"2020-08-26",4533
"2020-08-27",4535
"2020-08-28",4539
"2020-08-29",4542
"2020-08-30",4543
"2020-08-31",4548
"2020-09-01",4549
"2020-09-02",4550
"2020-09-03",4553
"2020-09-04",4554
"2020-09-05",4554
"2020-09-06",4573
"2020-09-07",4584
"2020-09-08",4590
"2020-09-09",4604
"2020-09-10",4620
"2020-09-11",4729
"2020-09-12",4758
"2020-09-13",4820
"2020-09-14",5013
"2020-09-15",5111
"2020-09-16",5125
"2020-09-17",5133
"2020-09-18",5160
"2020-09-19",5182
"2020-09-20",5279
"2020-09-21",5292
"2020-09-22",5368
"2020-09-23",5447
"2020-09-24",5776
"2020-09-25",5925
"2020-09-26",6038
"2020-09-27",6164
"2020-09-28",6478
"2020-09-29",6594
"2020-09-30",6634
"2020-10-01",6649
"2020-10-02",6691
"2020-10-03",6747
"2020-10-04",6798
"2020-10-05",6840
"2020-10-06",6866
"2020-10-07",6899
"2020-10-08",6934
"2020-10-09",6958
"2020-10-10",6971
"2020-10-11",6993
"2020-10-12",7016
"2020-10-13",7026
"2020-10-14",7034
"2020-10-15",7053
"2020-10-16",7067
"2020-10-17",7078
"2020-10-18",7082
"2020-10-19",7086
"2020-10-20",7089
"2020-10-21",7100
"2020-10-22",7105
"2020-10-23",7116
"2020-10-24",7130
"2020-10-25",7138
"2020-10-26",7142
"2020-10-27",7143
"2020-10-28",7144
"2020-10-29",7147
"2020-10-30",7151
"2020-10-31",7156
"2020-11-01",7158
"2020-11-02",7159
"2020-11-03",7161
"2020-11-04",7163
"2020-11-05",7165
"2020-11-06",7166
"2020-11-07",7173
"2020-11-08",7173
"2020-11-09",7174
"2020-11-10",7177
"2020-11-11",7177
"2020-11-12",7180
"2020-11-13",7182
"2020-11-14",7190
"2020-11-15",7196
"2020-11-16",7200
"2020-11-17",7206
"2020-11-18",7212
"2020-11-19",7219
"2020-11-20",7225
"2020-11-21",7226
"2020-11-22",7228
"2020-11-23",7233
"2020-11-24",7246
"2020-11-25",7250
"2020-11-26",7253
"2020-11-27",7254
"2020-11-28",7256
"2020-11-29",7257
"2020-11-30",7261
"2020-12-01",7261
"2020-12-02",7262
"2020-12-03",7264
"2020-12-04",7264
"2020-12-05",7267
"2020-12-06",7269
"2020-12-07",7271
"2020-12-08",7271
"2020-12-09",7271
"2020-12-10",7271
"2020-12-11",7277
"2020-12-12",7280
"2020-12-13",7283
"2020-12-14",7293
"2020-12-15",7294
"2020-12-16",7294
"2020-12-17",7295
"2020-12-18",7304
"2020-12-19",7305
"2020-12-20",7306
"2020-12-21",7309
"2020-12-22",7345
"2020-12-23",7360
"2020-12-24",7375
"2020-12-25",7390
"2020-12-26",7417
